ProductID,ProductName,ProductGroupID,Price,StockQuantity,Description,SKU,Manufacturer,WarrantyPeriod,Dimensions,Weight,Color
40,Smart Plug AN,18,20,250,"Wi-Fi smart plug with app control","SKU040","Manufacturer A",12 months,"2.0 x 2.0 x 1.0 inches",0.2 lbs,White
41,LED Desk Lamp AO,15,30,200,"Adjustable LED desk lamp","SKU041","Manufacturer B",12 months,"5.0 x 5.0 x 15.0 inches",2.0 lbs,Silver
42,Handheld Vacuum AP,8,70,120,"Cordless handheld vacuum","SKU042","Manufacturer C",24 months,"16.0 x 6.0 x 5.0 inches",3.0 lbs,Red
43,Bluetooth Earphones AQ,5,50,180,"Sweatproof Bluetooth earphones","SKU043","Manufacturer D",12 months,"2.5 x 1.0 x 1.0 inches",0.3 lbs,Black
44,Smart Doorbell AR,11,200,40,"Video doorbell with night vision","SKU044","Manufacturer E",24 months,"3.0 x 3.0 x 1.0 inches",0.5 lbs,Silver
45,Electric Shaver AS,9,80,100,"Men's electric shaver","SKU045","Manufacturer F",24 months,"6.0 x 3.0 x 2.0 inches",0.8 lbs,Black
46,Power Strip AT,18,25,300,"Surge protector power strip","SKU046","Manufacturer G",12 months,"10.0 x 2.0 x 1.5 inches",1.5 lbs,White
47,Bluetooth Car Kit AU,10,30,250,"Bluetooth car adapter with hands-free calling","SKU047","Manufacturer H",12 months,"3.0 x 3.0 x 0.5 inches",0.1 lbs,Black
48,Electric Fan AV,16,60,150,"Oscillating tower fan","SKU048","Manufacturer I",24 months,"12.0 x 12.0 x 36.0 inches",7.0 lbs,White
49,Wireless Security Camera AW,11,120,80,"Outdoor wireless security camera","SKU049","Manufacturer J",24 months,"4.0 x 4.0 x 6.0 inches",1.0 lbs,Black
50,USB Flash Drive AX,13,20,400,"Portable USB flash drive, 128GB","SKU050","Manufacturer K",36 months,"2.0 x 0.8 x 0.4 inches",0.1 lbs,Red
